route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
2.34,34,Pg. Manuel Girona / Pl. Virrei Amat,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/34,DC241F,FFFFFF
2.39,39,Barceloneta / Horta,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/39,DC241F,FFFFFF
2.45,45,Pg. Marítim / Horta,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/45,DC241F,FFFFFF
2.46,46,Pl. Espanya / Aeroport BCN,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/46,DC241F,FFFFFF
2.47,47,Pl. Catalunya / Canyelles,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/47,DC241F,FFFFFF
2.52,52,Pl. Catalunya / Collblanc,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/52,DC241F,FFFFFF
2.54,54,Estació del Nord / Campus Nord,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/54,DC241F,FFFFFF
2.55,55,Parc de Montjuïc / Pl. Catalana,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/55,DC241F,FFFFFF
2.59,59,Poblenou / Pl. Reina Maria Cristina,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/59,DC241F,FFFFFF
2.60,60,Besòs Verneda / Av. Esplugues,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/60,DC241F,FFFFFF
2.62,62,Pl. Catalunya / Ciutat Meridiana,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/62,DC241F,FFFFFF
2.63,63,Pl. Universitat / Sant Joan Despí,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/63,DC241F,FFFFFF
2.65,65,Pl. Espanya / El Prat,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/65,DC241F,FFFFFF
2.67,67,Pl. Catalunya / Cornellà,3,https://www.tmb.cat/ca/barcelona/autobusos/-/lineabus/67,DC241F,FFFFFF
